ID,SKU,Barcode,Name,Localized Name,Description,Localized Description,Image,Is Active,Is Stock Product,Is Non-Revenue,Is Ready,Pricing Method,Selling Method,Costing Method,Preparation Time,Price,Cost,Calories,Walking Minutes to Burn Calories,Is High Salt,Created At,Updated At,Deleted At
9c233615-a9c5-4373-840d-3bc7bf56e7d0,sk-0051,,salvador,,,,,false,false,false,true,1,1,2,,18,,,,false,2024-05-26 19:07:31,2024-10-05 19:04:32,
9c233930-3437-4548-bd69-fdf1f5177220,sk-0052,,macchiato,,,,,true,false,false,true,1,1,2,,16,,,,false,2024-05-26 19:16:12,2025-01-14 22:13:38,
9c3f4bfc-b284-49d0-a67a-e59445027137,sk-0053,,Extra sweet,,,,,true,true,false,true,1,1,2,,1,,,,false,2024-06-09 18:11:57,2024-07-04 21:56:26,
9c48e05f-7db2-4d88-9662-b531621ea4ef,sk-0054,,V60 Panama HOT,,,,,true,false,false,true,1,1,2,,23,,,,false,2024-06-14 12:29:19,2024-08-12 19:10:14,
9c48e0aa-c366-4caf-9e00-d5279d70ad3b,sk-0055,,V60 Panama c,,,,,true,false,false,true,1,1,2,,24,,,,false,2024-06-14 12:30:08,2024-07-04 21:56:26,
9c4c3d19-63c8-4981-ae45-f41f448cc691,sk-0056,,(Espresso (PANAMA,,,,,false,false,false,true,1,1,2,,17,,,,false,2024-06-16 04:36:05,2024-12-13 12:10:56,
9c518423-736a-4570-a876-879fd4664dc0,sk-0057,,(chocolate Par (konafa,,,,,true,false,false,true,1,1,2,,11,,,,false,2024-06-18 19:33:51,2025-01-14 17:15:56,
9c6172b6-6edb-4acd-8832-fc704d5d6c91,sk-0058,,Extra cheesecake sauce,,,,,true,false,false,true,1,1,2,,1,,,,false,2024-06-26 17:38:23,2025-01-14 21:44:36,
9ca94985-71f1-4e26-a87d-3af13de98e19,sk-0059,,MATILDA CAKE,,,,,true,false,false,true,1,1,2,,26,,,,false,2024-08-01 10:42:48,2025-01-14 17:15:41,
9cb7798c-8495-4ce0-85a3-c5ecc21952b5,sk-0060,,V60 MAGHOLA HOT,,,,,false,false,false,true,1,1,2,,20,,,,false,2024-08-08 11:58:42,2024-10-05 19:03:52,
9cb779ff-772f-4cde-940a-e62b0441e12b,sk-0061,,V60 MAGHOLA C,,,,,false,false,false,true,1,1,2,,21,,,,false,2024-08-08 11:59:57,2024-10-05 19:01:46,
9d164d50-cfa0-4ff3-84c4-0aeef4084efe,sk-0062,,V60 peach HOT,,,,,true,false,false,true,1,1,2,,22,,,,false,2024-09-24 15:18:39,2024-09-24 15:18:39,
9d164da7-69cb-4d7d-93b3-f64ae75bb3da,sk-0063,,V60 peach C,,,,,true,false,false,true,1,1,2,,23,,,,false,2024-09-24 15:19:36,2024-09-24 15:19:36,
