businessId,businessName,transactionsCount,customerloyaltiesCount,customervouchersCount,walletsCount
5f7e12a735b5fa5ecd0f7b56,New Business1602097831975,0,0,0,0
5f7e139735b5fa5ecd0f7b5a,3 minutes,0,4,0,1
5f82f06e5df0c90a59cee827,New Business1602416750273,0,0,0,0
60080e6b1c5fab5fcf2db0aa,New Business1611140715212,2,1,0,0
6091a9f2bb25d8699add0726,New Business1620158962851,0,0,0,0
61533172785e1465d9b1ca1e,New Business1632842098468,0,0,0,0
6155739c33051c0037ba4563,New Business1632990108031,0,0,0,0
621250d04ebd7d001d486a68,New Business1645367504497,0,0,0,0
629fe2aa601ffd001d890932,New Business1654645418391,0,0,0,0
62a1fcaf5cf5c9001d0d92df,New Business1654783151428,0,0,0,0
62a700fc5cf5c9001d14f356,New Business1655111932082,0,0,0,0
62a8a3955cf5c9001d16d2e0,New Business1655219093701,0,0,0,0
62a989ef5cf5c9001d17d95a,New Business1655278063085,0,0,0,0
62adf5d65cf5c9001d1e9389,New Business1655567830119,0,0,0,0
62b1851e5cf5c9001d25563f,New Business1655801118993,0,0,0,0
62b193be5cf5c9001d2583d6,New Business1655804862327,0,0,0,0
62b307b157278a001dd22d17,New Business1655900081523,0,0,0,0
62b32b5c57278a001dd27b81,New Business1655909212243,0,0,0,0
62b984f457278a001ddc7981,New Business1656325364630,0,0,0,0
62bce67b57278a001de2271b,New Business1656546939519,0,0,0,0
62bce6c357278a001de22724,New Business1656547011782,0,0,0,0
62bd68cd57278a001de2f2b4,New Business1656580301695,0,0,0,0
62bd80ed57278a001de459a3,New Business1656586477795,0,0,0,0
62c0588f57278a001de924c0,New Business1656772751598,0,0,0,0
62c617f057278a001df24d54,New Business1657149424192,0,0,0,0
62c6242757278a001df24eaa,New Business1657152551012,0,0,0,0
62d0052957278a001d02ab77,New Business1657799977375,0,0,0,0
62dd0fa3916e59001d235905,New Business1658654627106,0,0,0,0
62e916532f6050001d12df23,New Business1659442771337,0,0,0,0
62f4cbe02f6050001d3504fe,New Business1660210144865,0,0,0,0
62f4e0532f6050001d354007,New Business1660215379497,0,0,0,0
62f8acf42f6050001d3f641c,New Business1660464372099,0,0,0,0
62f8b56b2f6050001d3f8338,New Business1660466539405,0,0,0,0
62f8b7cf2f6050001d3f8bf5,New Business1660467151647,0,0,0,0
62f8f5d72f6050001d40939e,New Business1660483031446,0,0,0,0
62fc9b1b2f6050001d4b4aa0,New Business1660721947008,0,0,0,0
630128752f6050001d5a8f36,New Business1661020277707,0,0,0,0
6306a9db2f6050001d6d14c0,New Business1661381083639,0,0,0,0
