"index","reachListId","duplicate"
1,"66fa9ffb8697b2001dbfa7c6","No"
2,"66fbef1e8697b2001dfecaec","No"
3,"66f2b64ccbfbeb001d9c46ed","No"
4,"66fc31218697b2001d0f4078","No"
5,"67150013dd4b3c001ebfee30","No"
6,"6717d9b9dd4b3c001e4b5cc5","No"
7,"67166c1cdd4b3c001e05283d","No"
8,"67375b990d482a001d6c4a9e","No"
9,"67375c490d482a001d6c7c24","No"
10,"6737acd30d482a001d883240","No"
11,"67389f26eb99e1001db882b1","No"
12,"67051fc1a7a5e6001eb9624e","No"
13,"672627a3de0b15001d961c3e","No"
14,"67250452a5541d001dc1f40a","No"
15,"6717ab98dd4b3c001e3f5540","No"
16,"671a7224dd4b3c001ed7417b","No"
17,"672b8447c8e9bb001dc8a1dc","No"
18,"673207b9a5479b001d4ec4b7","No"
19,"672a4a05a7f29d001ded3faa","No"
20,"6730ec0842a9d8001e8ea63d","No"
21,"67325328a5479b001d66eade","No"
22,"6735eee7664b20001db83134","No"
23,"673c7acd65041b001d9c1f4b","No"
24,"67151d4edd4b3c001ec72e61","No"
25,"672f9430f4b082001cf39a2f","No"
26,"673b4f58cd422d001d1f009a","No"
27,"67486d54462082001de3397c","No"
28,"66fc1b328697b2001d09bb57","No"
29,"671a3cbcdd4b3c001ec7b910","No"
30,"6724c0c9a5541d001da7d38b","No"
31,"673880b4eb99e1001db0ee6c","No"
32,"66f2b5a0cbfbeb001d9c3411","No"
33,"66fc18378697b2001d08f6da","No"
34,"671e40bd10d8dd001d579e61","No"
35,"6744a6a4a0c296001d59c054","No"
36,"67449f93a0c296001d582f49","No"
37,"6730bb2e42a9d8001e80a362","No"
38,"6730c29f42a9d8001e82a75f","No"
39,"671d2bef10d8dd001d1f71d4","No"
40,"672cd2821d131c001d97dc08","No"
41,"674f2cfc4ad316001dc8ca55","No"
42,"6727acb1683747001d758618","No"
43,"673e08b6ceb9bd001e0475e0","No"
44,"6727acb1683747001d758618","Yes"
45,"673e08b6ceb9bd001e0475e0","Yes"
46,"6727acb1683747001d758618","Yes"
47,"673e08b6ceb9bd001e0475e0","Yes"
48,"635ecdfd72e59f001f7585a4","No"
49,"635ecdfd72e59f001f7585a4","Yes"
50,"635ecdfd72e59f001f7585a4","Yes"
51,"673df78cceb9bd001e002c4e","No"
52,"673df78cceb9bd001e002c4e","Yes"
53,"673df78cceb9bd001e002c4e","Yes"
54,"66fee2dbe069a5001d16ff37","No"
55,"67151a33dd4b3c001ec644ef","No"
56,"66fee2dbe069a5001d16ff37","Yes"
57,"67151a33dd4b3c001ec644ef","Yes"
58,"673dbdddceb9bd001ef22cfc","No"
59,"674f4a6c4ad316001dd12f69","No"
60,"673dbdddceb9bd001ef22cfc","Yes"
61,"674f4a6c4ad316001dd12f69","Yes"
62,"6703fdd2b0e228001d1727ef","No"
63,"67698abe863148001d6ddcb4","No"
64,"6703fdd2b0e228001d1727ef","Yes"
65,"67698abe863148001d6ddcb4","Yes"
66,"6707ddcda7a5e6001e469bf1","No"
67,"670d3df0a604eb001d797833","No"
68,"671e4cc610d8dd001d5b4562","No"
69,"6755b4ec8d0638001d3ae85a","No"
70,"6707ddcda7a5e6001e469bf1","Yes"
71,"670d3df0a604eb001d797833","Yes"
72,"671e4cc610d8dd001d5b4562","Yes"
73,"6755b4ec8d0638001d3ae85a","Yes"
74,"670bf51db4185e001dafa32b","No"
75,"65660105e2b620001e786f0c","No"
76,"670bf51db4185e001dafa32b","Yes"
77,"65660105e2b620001e786f0c","Yes"
78,"6730d0ce42a9d8001e86eb01","No"
79,"6730d0ce42a9d8001e86eb01","Yes"
80,"6717daf3dd4b3c001e4ba8bc","No"
81,"6717daf3dd4b3c001e4ba8bc","Yes"
82,"63bee991911a70001d2083e9","No"
83,"63bee991911a70001d2083e9","Yes"
84,"673387969520ff001dc7eb2e","No"
85,"673387969520ff001dc7eb2e","Yes"
86,"6726196cde0b15001d91d99f","No"
87,"6738c988eb99e1001dc660f1","No"
88,"6772e9fbcf7fcd001dc1a562","No"
89,"6726196cde0b15001d91d99f","Yes"
90,"6738c988eb99e1001dc660f1","Yes"
91,"6772e9fbcf7fcd001dc1a562","Yes"
92,"63cc0593911a70001dfdf185","No"
93,"67545c7fffe47d001d22c4d4","No"
94,"677eb52b39cee3001d056ca5","No"
95,"675dc322feb64c001d3591a2","No"
96,"6772830f34f5aa001d0e1c43","No"
97,"643e77c216603b0027f6783d","No"
98,"6717c7c8dd4b3c001e46856d","No"
99,"671e355d10d8dd001d54ae5e","No"
100,"673e0b02ceb9bd001e051c06","No"
101,"67540723ffe47d001d0d88a0","No"
102,"6744b3e1a0c296001d5d3941","No"
103,"6744b3e1a0c296001d5d3941","Yes"
104,"6744b3e1a0c296001d5d3941","Yes"
105,"6744b3e1a0c296001d5d3941","Yes"
106,"6735fdcf664b20001dbcba88","No"
107,"6735fdcf664b20001dbcba88","Yes"
108,"6735fdcf664b20001dbcba88","Yes"
109,"6735fdcf664b20001dbcba88","Yes"
110,"6735fdcf664b20001dbcba88","Yes"
111,"673755850d482a001d69fb61","No"
112,"674c767fd0b9bc001d8c82ce","No"
113,"6774381156d68b001d69783d","No"
114,"6785373883cf46001d29f752","No"
115,"673755850d482a001d69fb61","Yes"
116,"674c767fd0b9bc001d8c82ce","Yes"
117,"6774381156d68b001d69783d","Yes"
118,"6785373883cf46001d29f752","Yes"
119,"673755850d482a001d69fb61","Yes"
120,"674c767fd0b9bc001d8c82ce","Yes"
121,"6774381156d68b001d69783d","Yes"
122,"6785373883cf46001d29f752","Yes"
123,"672274d0a5541d001d27ed1e","No"
124,"672274d0a5541d001d27ed1e","Yes"
125,"672274d0a5541d001d27ed1e","Yes"
126,"672274d0a5541d001d27ed1e","Yes"
127,"672274d0a5541d001d27ed1e","Yes"
128,"636437b972e59f001f9a277d","No"
129,"636437b972e59f001f9a277d","Yes"
130,"636437b972e59f001f9a277d","Yes"
131,"636437b972e59f001f9a277d","Yes"
132,"636437b972e59f001f9a277d","Yes"
133,"6738c756eb99e1001dc5bf8f","No"
134,"676ad2467a3582001de13f88","No"
135,"678278a119fb0d001e87a0c2","No"
136,"6738c756eb99e1001dc5bf8f","Yes"
137,"676ad2467a3582001de13f88","Yes"
138,"678278a119fb0d001e87a0c2","Yes"
139,"6738c756eb99e1001dc5bf8f","Yes"
140,"676ad2467a3582001de13f88","Yes"
141,"678278a119fb0d001e87a0c2","Yes"
142,"676c40918e3e69001d90fb81","No"
143,"64feec5d773377001db912ed","No"
144,"6738e27aeb99e1001dcdf008","No"
145,"6715121ddd4b3c001ec4450c","No"
146,"6738c6abeb99e1001dc57734","No"
147,"672a540ba7f29d001df036aa","No"
